longname,hashname
4.2.3.4: 3-dehydroquinate synthase,TjVyUVOQOokb
4.1.3.1: Isocitrate lyase,QNRzSKqfMgnB
1.3.3.4: Protoporphyrinogen oxidase,HZAVzBEXPANO
4.1.99.17: Phosphomethylpyrimidine synthase,FAsShwajbHfH
2.3.1.183: Phosphinothricin acetyltransferase,zgFEAFbJdAOx
3.6.3.15: Sodium-transporting two-sector ATPase,raNVviqsMXjW
2.7.1.12: Gluconokinase,jjmfnmBdaIzl
2.7.1.196: NO_NAME,niEklNwQTEbJ
3.5.1.81: N-acyl-D-amino-acid deacylase,sCAwEbFEsgzw
2.8.3.8: Acetate CoA-transferase,kVDQfiiArjWJ
2.4.1.129: Peptidoglycan glycosyltransferase,krbFiyPILwpg
"2.3.1.201: UDP-2-acetamido-3-amino-2,3-dideoxy-glucuronate N-acetyltransferase",OoTTTdleFbKY
3.5.99.6: Glucosamine-6-phosphate deaminase,gydrrTuRWvse
3.1.21.8: T(4) deoxyribonuclease II,LcIqmOHQjJSw
1.1.1.90: Aryl-alcohol dehydrogenase,VtbDeQeRhElG
5.1.3.24: N-acetylneuraminate epimerase,sgCiIrMzuZlq
1.1.1.58: Tagaturonate reductase,GUtDebCbmYlc
3.4.24.40: Serralysin,XUVSXBAjJewh
5.4.2.7: Phosphopentomutase,hvqUnwCCTHRT
1.1.1.46: L-arabinose 1-dehydrogenase,KvjmTbRJMQkX
4.1.2.n5: Transferred entry: 2.2.1.10,iYaJQelvYFRA
"3.2.1.145: Galactan 1,3-beta-galactosidase",JYIhVQHYYibW
5.3.99.n1: Transferred entry: 5.3.99.11,DwQMDUBLlWpj
2.3.1.234: N(6)-L-threonylcarbamoyladenine synthase,tLAXqVJZpMDL
"2.7.7.48:  ;  Q06996, L_SENDF",LBGJEMFMUfvj
2.3.1.40: Acyl-[acyl-carrier-protein]--phospholipid O-acyltransferase,qJHEOCyVfyEV
5.3.2.1: Phenylpyruvate tautomerase,pasHhziQzCOm
3.4.21.83: Oligopeptidase B,hwPKbBVeVtaM
2.1.1.104: Caffeoyl-CoA O-methyltransferase,qEafoJKtqjBz
"1.4.1.11: L-erythro-3,5-diaminohexanoate dehydrogenase",ROstCYvQUndK
4.1.1.76: Arylmalonate decarboxylase,WUCcKVwzBCBN
2.7.1.67: 1-phosphatidylinositol 4-kinase,fzlSFhLpCHNT
1.1.1.95: Phosphoglycerate dehydrogenase,YjFfXoVtwdEm
4.1.1.65: Phosphatidylserine decarboxylase,gOyZIfSqkLsC
"5.4.3.6: Tyrosine 2,3-aminomutase",LoiCclUCzYOy
1.1.1.81: Hydroxypyruvate reductase,jYrxzHDhFbKP
3.1.1.29: Aminoacyl-tRNA hydrolase,IcNjGLVcNmKm
4.1.1.101: Malolactic enzyme,zjvMWIJhyeXh
4.4.1.28: L-cysteine desulfidase,skwhiSItykUz
2.3.1.81: Aminoglycoside N(3')-acetyltransferase,xkvUfUYCKHmb
4.4.1.25: L-cysteate sulfo-lyase,XPNRVshfAxBH
6.5.1.1: DNA ligase (ATP),rfxmVYJrlVLO
3.5.4.19: Phosphoribosyl-AMP cyclohydrolase,OPEOEajZyREg
3.1.2.26: Bile-acid-CoA hydrolase,vxUsxemoSNHB
4.1.1.21: Phosphoribosylaminoimidazole carboxylase,WfjkuqOwZVFl
5.1.3.6: UDP-glucuronate 4-epimerase,AtCKIIgtkjnP
"5.4.3.5: D-ornithine 4,5-aminomutase",IGIcVgUavOuV
4.2.2.23: Rhamnogalacturonan endolyase,uCQMWFXVRInd
2.1.1.173: 23S rRNA (guanine(2445)-N(2))-methyltransferase,NTjZZDshRTnx
2.7.1.60: N-acylmannosamine kinase,YrfkeCWcNnma
1.14.13.82: Vanillate monooxygenase,MnOKgMfxMoOV
