rank,variable,weightedImportance,relativeWeightedImportance,cumulativeWeightedImportance
1,ageMonths,0.01907,5.99 %,5.99 %
2,Faecalibacterium_prausnitzii,0.00701,2.2 %,8.19 %
3,Blautia_wexlerae,0.00534,1.68 %,9.87 %
4,Eubacterium_eligens,0.00505,1.59 %,11.45 %
5,Bifidobacterium_pseudocatenulatum,0.00501,1.57 %,13.03 %
6,Bifidobacterium_longum,0.00484,1.52 %,14.55 %
7,Veillonella_dispar,0.00454,1.43 %,15.97 %
8,Parasutterella_excrementihominis,0.00438,1.38 %,17.35 %
9,Bacteroides_vulgatus,0.004,1.26 %,18.61 %
10,Roseburia_faecis,0.00397,1.25 %,19.85 %
11,Fusicatenibacter_saccharivorans,0.00385,1.21 %,21.06 %
12,Eubacterium_hallii,0.00361,1.13 %,22.2 %
13,Anaerostipes_hadrus,0.00358,1.12 %,23.32 %
14,Asaccharobacter_celatus,0.00355,1.12 %,24.43 %
15,Dorea_longicatena,0.00351,1.1 %,25.54 %
16,Blautia_obeum,0.00347,1.09 %,26.63 %
17,Ruminococcus_gnavus,0.00345,1.08 %,27.71 %
18,Flavonifractor_plautii,0.00338,1.06 %,28.77 %
19,Intestinibacter_bartlettii,0.00336,1.06 %,29.83 %
20,Veillonella_parvula,0.00335,1.05 %,30.88 %
21,Roseburia_hominis,0.00335,1.05 %,31.93 %
22,Alistipes_obesi,0.00326,1.02 %,32.95 %
23,Eubacterium_sp_CAG_38,0.00323,1.01 %,33.97 %
24,Parabacteroides_distasonis,0.00321,1.01 %,34.98 %
25,Streptococcus_parasanguinis,0.00321,1.01 %,35.98 %
26,Megamonas_funiformis,0.00314,0.99 %,36.97 %
27,Bifidobacterium_bifidum,0.00309,0.97 %,37.94 %
28,Streptococcus_salivarius,0.00303,0.95 %,38.89 %
29,Roseburia_intestinalis,0.00303,0.95 %,39.84 %
30,Sutterella_wadsworthensis,0.00301,0.95 %,40.79 %
31,Eubacterium_rectale,0.00297,0.93 %,41.72 %
32,Alistipes_finegoldii,0.00294,0.92 %,42.64 %
33,Bacteroides_uniformis,0.0029,0.91 %,43.55 %
34,Parabacteroides_merdae,0.00288,0.91 %,44.46 %
35,Roseburia_inulinivorans,0.00287,0.9 %,45.36 %
36,Firmicutes_bacterium_CAG_41,0.00287,0.9 %,46.26 %
37,Veillonella_atypica,0.00285,0.89 %,47.16 %
38,Bacteroides_ovatus,0.00277,0.87 %,48.03 %
39,Haemophilus_parainfluenzae,0.00277,0.87 %,48.9 %
40,Subdoligranulum_sp,0.00276,0.87 %,49.77 %
41,Bacteroides_caccae,0.00272,0.86 %,50.62 %
42,Alistipes_putredinis,0.00267,0.84 %,51.46 %
43,Monoglobus_pectinilyticus,0.00259,0.81 %,52.27 %
44,Anaerotruncus_colihominis,0.00259,0.81 %,53.09 %
45,Clostridium_sp_CAG_58,0.00258,0.81 %,53.9 %
46,Subdoligranulum_sp_APC924_74,0.00258,0.81 %,54.71 %
47,Collinsella_aerofaciens,0.00256,0.8 %,55.51 %
48,Eggerthella_lenta,0.00255,0.8 %,56.31 %
49,Bacteroides_fragilis,0.00252,0.79 %,57.1 %
50,Ruthenibacterium_lactatiformans,0.0025,0.78 %,57.89 %
51,Streptococcus_thermophilus,0.00246,0.77 %,58.66 %
52,Ruminococcus_torques,0.00246,0.77 %,59.44 %
53,Ruminococcus_bromii,0.00235,0.74 %,60.17 %
54,Clostridium_symbiosum,0.00232,0.73 %,60.9 %
55,Agathobaculum_butyriciproducens,0.00231,0.73 %,61.63 %
56,Firmicutes_bacterium_AF16_15,0.00227,0.71 %,62.34 %
57,Ruminococcus_bicirculans,0.00225,0.71 %,63.05 %
58,Prevotella_copri,0.00224,0.7 %,63.75 %
59,Bacteroides_thetaiotaomicron,0.00223,0.7 %,64.45 %
60,Bifidobacterium_adolescentis,0.00223,0.7 %,65.15 %
61,Ruminococcus_lactaris,0.00219,0.69 %,65.84 %
62,Eubacterium_ramulus,0.00215,0.68 %,66.51 %
63,Odoribacter_splanchnicus,0.00214,0.67 %,67.19 %
64,Dorea_formicigenerans,0.00213,0.67 %,67.85 %
65,Eubacterium_siraeum,0.00211,0.66 %,68.52 %
66,Erysipelatoclostridium_ramosum,0.00208,0.65 %,69.17 %
67,Ruminococcaceae_bacterium_KLE1738,0.00207,0.65 %,69.82 %
68,Sellimonas_intestinalis,0.00205,0.64 %,70.46 %
69,Clostridium_sp_AM22_11AC,0.00201,0.63 %,71.1 %
70,Firmicutes_bacterium_CAG_114,0.00193,0.61 %,71.7 %
71,Clostridium_leptum,0.00191,0.6 %,72.31 %
72,Oscillibacter_sp_57_20,0.00187,0.59 %,72.89 %
73,Eubacterium_sp_CAG_180,0.00187,0.59 %,73.48 %
74,Gemmiger_formicilis,0.00182,0.57 %,74.05 %
75,Bacteroides_xylanisolvens,0.00181,0.57 %,74.62 %
76,Blautia_sp_CAG_52,0.00176,0.55 %,75.17 %
77,Bacteroides_dorei,0.00175,0.55 %,75.72 %
78,Hungatella_hathewayi,0.00173,0.54 %,76.27 %
79,Intestinimonas_butyriciproducens,0.00172,0.54 %,76.81 %
80,Akkermansia_muciniphila,0.00172,0.54 %,77.35 %
81,Clostridium_innocuum,0.0017,0.54 %,77.88 %
82,Clostridium_spiroforme,0.00169,0.53 %,78.41 %
83,Clostridium_bolteae,0.00168,0.53 %,78.94 %
84,Coprococcus_comes,0.00164,0.52 %,79.46 %
85,Bifidobacterium_breve,0.00161,0.51 %,79.96 %
86,Escherichia_coli,0.00159,0.5 %,80.46 %
87,Eggerthella_sp_CAG_298,0.00155,0.49 %,80.95 %
88,Dialister_invisus,0.00155,0.49 %,81.44 %
89,Clostridium_sp_CAG_75,0.00154,0.48 %,81.92 %
