rank,variable,weightedImportance,relativeWeightedImportance,cumulativeWeightedImportance
1,Erysipelatoclostridium_ramosum,0.00122,5.57 %,5.57 %
2,ageMonths,0.00095,4.31 %,9.88 %
3,Eggerthella_lenta,0.00084,3.82 %,13.7 %
4,Escherichia_coli,0.00083,3.8 %,17.5 %
5,Bifidobacterium_longum,0.00077,3.51 %,21.01 %
6,Veillonella_parvula,0.00075,3.42 %,24.43 %
7,Bifidobacterium_breve,0.00072,3.26 %,27.68 %
8,Klebsiella_variicola,0.00065,2.98 %,30.66 %
9,Enterococcus_faecalis,0.00064,2.91 %,33.57 %
10,Streptococcus_salivarius,0.00062,2.84 %,36.42 %
11,Klebsiella_pneumoniae,0.00062,2.82 %,39.24 %
12,Bifidobacterium_bifidum,0.00057,2.59 %,41.83 %
13,Flavonifractor_plautii,0.00056,2.55 %,44.38 %
14,Ruminococcus_gnavus,0.00055,2.52 %,46.9 %
15,Veillonella_atypica,0.00053,2.41 %,49.31 %
16,Klebsiella_quasipneumoniae,0.0005,2.29 %,51.6 %
17,Gordonibacter_pamelaeae,0.00048,2.17 %,53.77 %
18,Clostridioides_difficile,0.00044,2.02 %,55.79 %
19,Clostridium_innocuum,0.00041,1.87 %,57.66 %
20,Streptococcus_parasanguinis,0.00038,1.73 %,59.38 %
21,Blautia_wexlerae,0.00036,1.65 %,61.03 %
22,Bacteroides_vulgatus,0.00036,1.65 %,62.68 %
23,Clostridium_neonatale,0.00033,1.51 %,64.19 %
24,Enterococcus_gallinarum,0.00031,1.4 %,65.59 %
25,Veillonella_dispar,0.00029,1.33 %,66.92 %
26,Collinsella_aerofaciens,0.00029,1.32 %,68.24 %
27,Clostridium_paraputrificum,0.00028,1.27 %,69.51 %
28,Parabacteroides_distasonis,0.00028,1.26 %,70.78 %
29,Collinsella_stercoris,0.00027,1.25 %,72.02 %
30,Intestinibacter_bartlettii,0.00027,1.22 %,73.25 %
31,Bacteroides_uniformis,0.00027,1.21 %,74.46 %
32,Streptococcus_mitis,0.00026,1.16 %,75.63 %
33,Bacteroides_ovatus,0.00024,1.1 %,76.73 %
34,Klebsiella_oxytoca,0.00024,1.1 %,77.82 %
35,Hungatella_hathewayi,0.00023,1.03 %,78.86 %
36,Veillonella_infantium,0.00022,0.98 %,79.84 %
37,Clostridium_sp_7_2_43FAA,0.00021,0.95 %,80.78 %
38,Haemophilus_parainfluenzae,0.00021,0.94 %,81.72 %
39,Parabacteroides_merdae,0.00019,0.88 %,82.6 %
40,Clostridium_bolteae,0.00018,0.83 %,83.43 %
41,Clostridium_perfringens,0.00018,0.83 %,84.26 %
42,Bifidobacterium_adolescentis,0.00018,0.82 %,85.07 %
43,Bifidobacterium_pseudocatenulatum,0.00016,0.75 %,85.82 %
44,Enterococcus_avium,0.00016,0.72 %,86.53 %
45,Bacteroides_thetaiotaomicron,0.00015,0.7 %,87.23 %
46,Akkermansia_muciniphila,0.00015,0.68 %,87.91 %
47,Bacteroides_caccae,0.00015,0.67 %,88.58 %
48,Citrobacter_youngae,0.00014,0.63 %,89.21 %
49,Sellimonas_intestinalis,0.00014,0.62 %,89.84 %
50,Enterobacter_cloacae_complex,0.00013,0.6 %,90.44 %
51,Streptococcus_thermophilus,0.00013,0.6 %,91.04 %
52,Lactobacillus_rhamnosus,0.00013,0.58 %,91.62 %
53,Bacteroides_stercoris,0.00012,0.56 %,92.18 %
54,Klebsiella_michiganensis,0.00012,0.55 %,92.73 %
55,Enterococcus_faecium,0.0001,0.45 %,93.18 %
56,Veillonella_sp_T11011_6,0.0001,0.43 %,93.61 %
57,Streptococcus_vestibularis,9.0e-5,0.43 %,94.04 %
58,Ruthenibacterium_lactatiformans,9.0e-5,0.42 %,94.45 %
59,Bacteroides_fragilis,9.0e-5,0.41 %,94.86 %
60,Anaerostipes_caccae,9.0e-5,0.4 %,95.25 %
61,Enterococcus_casseliflavus,9.0e-5,0.39 %,95.65 %
62,Citrobacter_freundii,8.0e-5,0.39 %,96.03 %
63,Proteus_mirabilis,8.0e-5,0.39 %,96.42 %
64,Collinsella_intestinalis,8.0e-5,0.37 %,96.8 %
65,Varibaculum_cambriense,8.0e-5,0.37 %,97.16 %
66,Bilophila_wadsworthia,7.0e-5,0.34 %,97.5 %
67,Bifidobacterium_scardovii,7.0e-5,0.3 %,97.8 %
68,Aeriscardovia_aeriphila,6.0e-5,0.29 %,98.1 %
69,Morganella_morganii,6.0e-5,0.26 %,98.36 %
70,Bacteroides_massiliensis,6.0e-5,0.25 %,98.61 %
71,Clostridium_symbiosum,5.0e-5,0.22 %,98.84 %
72,Lactococcus_lactis,5.0e-5,0.22 %,99.05 %
73,Bacteroides_dorei,4.0e-5,0.2 %,99.26 %
74,Actinomyces_sp_HPA0247,4.0e-5,0.19 %,99.44 %
75,Bacteroides_xylanisolvens,3.0e-5,0.14 %,99.58 %
76,Phascolarctobacterium_faecium,3.0e-5,0.12 %,99.7 %
77,Streptococcus_pasteurianus,2.0e-5,0.11 %,99.8 %
78,Fusicatenibacter_saccharivorans,2.0e-5,0.1 %,99.91 %
79,Ruminococcus_torques,2.0e-5,0.09 %,100.0 %
