rank,variable,weightedImportance,relativeWeightedImportance,cumulativeWeightedImportance
1,ageMonths,0.021289384528164364,6.48 %,6.48 %
2,Faecalibacterium_prausnitzii,0.008588011302604118,2.61 %,9.09 %
3,Bifidobacterium_pseudocatenulatum,0.005978533180736219,1.82 %,10.91 %
4,Asaccharobacter_celatus,0.005855229468600678,1.78 %,12.7 %
5,Eubacterium_eligens,0.0053614460698227975,1.63 %,14.33 %
6,Bifidobacterium_longum,0.005357889168861685,1.63 %,15.96 %
7,Streptococcus_parasanguinis,0.005171092450103361,1.57 %,17.53 %
8,Ruminococcus_gnavus,0.0050737487701381125,1.54 %,19.08 %
9,Roseburia_faecis,0.005056875639263109,1.54 %,20.62 %
10,Bacteroides_vulgatus,0.004819633574534635,1.47 %,22.08 %
11,Megamonas_funiformis,0.004747844852966663,1.45 %,23.53 %
12,Fusicatenibacter_saccharivorans,0.004705363020145426,1.43 %,24.96 %
13,Blautia_wexlerae,0.004678387375183712,1.42 %,26.38 %
14,Roseburia_hominis,0.004637494987746377,1.41 %,27.79 %
15,Eubacterium_hallii,0.004624465253026092,1.41 %,29.2 %
16,Parasutterella_excrementihominis,0.00439619459853177,1.34 %,30.54 %
17,Anaerostipes_hadrus,0.004355030551283181,1.33 %,31.87 %
18,Blautia_obeum,0.004126022552732964,1.26 %,33.12 %
19,Agathobaculum_butyriciproducens,0.003949583529549414,1.2 %,34.32 %
20,Haemophilus_parainfluenzae,0.0038641710968673228,1.18 %,35.5 %
21,Gordonibacter_pamelaeae,0.0038032132411796827,1.16 %,36.66 %
22,Alistipes_finegoldii,0.00375788392771474,1.14 %,37.8 %
23,Dorea_longicatena,0.0037315616886582853,1.14 %,38.94 %
24,Flavonifractor_plautii,0.003648363368031281,1.11 %,40.05 %
25,Streptococcus_salivarius,0.0036188360546949455,1.1 %,41.15 %
26,Adlercreutzia_equolifaciens,0.0035508207806566644,1.08 %,42.23 %
27,Veillonella_parvula,0.0035497128509081374,1.08 %,43.31 %
28,Intestinibacter_bartlettii,0.0034996313117895057,1.07 %,44.38 %
29,Alistipes_putredinis,0.0034083394193793735,1.04 %,45.41 %
30,Ruthenibacterium_lactatiformans,0.0033530661074402997,1.02 %,46.43 %
31,Bacteroides_ovatus,0.0033089432195999267,1.01 %,47.44 %
32,Bacteroides_fragilis,0.0033056325546797325,1.01 %,48.45 %
33,Bacteroides_uniformis,0.0033017968129124505,1.0 %,49.45 %
34,Eubacterium_rectale,0.003199859295358822,0.97 %,50.43 %
35,Roseburia_inulinivorans,0.003072317843902771,0.94 %,51.36 %
36,Streptococcus_thermophilus,0.0030627513005560374,0.93 %,52.29 %
37,Roseburia_intestinalis,0.0030542639025582263,0.93 %,53.22 %
38,Bacteroides_caccae,0.002983418440250821,0.91 %,54.13 %
39,Ruminococcus_bicirculans,0.0029561244351189848,0.9 %,55.03 %
40,Parabacteroides_distasonis,0.002894177173459155,0.88 %,55.91 %
41,Ruminococcus_torques,0.0028678744143026064,0.87 %,56.78 %
42,Clostridium_symbiosum,0.0028337304795018844,0.86 %,57.65 %
43,Collinsella_stercoris,0.0028061629024087992,0.85 %,58.5 %
44,Bifidobacterium_bifidum,0.0027799198208839377,0.85 %,59.35 %
45,Collinsella_aerofaciens,0.0027772164340860096,0.85 %,60.19 %
46,Ruminococcus_bromii,0.002752405874113721,0.84 %,61.03 %
47,Eubacterium_sp_CAG_38,0.0027471662911962165,0.84 %,61.87 %
48,Erysipelatoclostridium_ramosum,0.0026973804096749134,0.82 %,62.69 %
49,Gemmiger_formicilis,0.002658585917491748,0.81 %,63.5 %
50,Eggerthella_lenta,0.0026052873768157136,0.79 %,64.29 %
51,Dorea_formicigenerans,0.0025285107042046164,0.77 %,65.06 %
52,Parabacteroides_merdae,0.0024742228089969518,0.75 %,65.81 %
53,Odoribacter_splanchnicus,0.002463587094464285,0.75 %,66.56 %
54,Bacteroides_thetaiotaomicron,0.0024577940077367033,0.75 %,67.31 %
55,Coprococcus_eutactus,0.0024554104838451114,0.75 %,68.06 %
56,Coprococcus_comes,0.002445694857709558,0.74 %,68.8 %
57,Tyzzerella_nexilis,0.002411737824382381,0.73 %,69.54 %
58,Megamonas_hypermegale,0.0023640662556995043,0.72 %,70.25 %
59,Ruminococcus_lactaris,0.0023639386895119366,0.72 %,70.97 %
60,Eubacterium_siraeum,0.0023438912583796374,0.71 %,71.69 %
61,Clostridium_sp_CAG_58,0.002268554109866562,0.69 %,72.38 %
62,Clostridium_spiroforme,0.0022532363129886103,0.69 %,73.06 %
63,Veillonella_atypica,0.002189660108476601,0.67 %,73.73 %
64,Bifidobacterium_adolescentis,0.002144101745428008,0.65 %,74.38 %
65,Monoglobus_pectinilyticus,0.0021182377930729643,0.64 %,75.03 %
66,Alistipes_shahii,0.002103891282740899,0.64 %,75.67 %
67,Eubacterium_ramulus,0.002100110102059216,0.64 %,76.31 %
68,Prevotella_copri,0.0020878856952166224,0.64 %,76.94 %
69,Bacteroides_xylanisolvens,0.002021670942570506,0.62 %,77.56 %
70,Oscillibacter_sp_57_20,0.002011116506452895,0.61 %,78.17 %
71,Blautia_sp_CAG_257,0.0019830730696483415,0.6 %,78.77 %
72,Sutterella_parvirubra,0.001980401035506928,0.6 %,79.38 %
73,Akkermansia_muciniphila,0.0019218876176416695,0.58 %,79.96 %
74,Clostridium_bolteae,0.001860870702889492,0.57 %,80.53 %
75,Clostridium_leptum,0.001854447209279278,0.56 %,81.09 %
76,Lachnospira_pectinoschiza,0.001848944266881958,0.56 %,81.66 %
77,Bacteroides_stercoris,0.0018467369920395506,0.56 %,82.22 %
78,Clostridium_innocuum,0.001835222964507272,0.56 %,82.78 %
79,Escherichia_coli,0.0018267517104653438,0.56 %,83.33 %
80,Eubacterium_sp_CAG_180,0.0017946254660592303,0.55 %,83.88 %
81,Intestinimonas_butyriciproducens,0.0017937348744713408,0.55 %,84.42 %
82,Dialister_invisus,0.0017682659139971004,0.54 %,84.96 %
83,Anaerotruncus_colihominis,0.001707213723204744,0.52 %,85.48 %
84,Bifidobacterium_breve,0.001679337172226161,0.51 %,85.99 %
85,Sellimonas_intestinalis,0.0016637027712261218,0.51 %,86.5 %
86,Veillonella_infantium,0.0016242776262448255,0.49 %,86.99 %
87,Bacteroides_dorei,0.001607532903090807,0.49 %,87.48 %
88,Proteobacteria_bacterium_CAG_139,0.0016014703877644074,0.49 %,87.97 %
89,Megamonas_funiformis_CAG_377,0.001516267299466355,0.46 %,88.43 %
90,Bilophila_wadsworthia,0.0015157185487297926,0.46 %,88.89 %
91,Hungatella_hathewayi,0.001445078398575357,0.44 %,89.33 %
92,Veillonella_dispar,0.0014431988096331818,0.44 %,89.77 %
93,Turicimonas_muris,0.001411163927046901,0.43 %,90.2 %
94,Roseburia_sp_CAG_471,0.001409793392496867,0.43 %,90.63 %
95,Eisenbergiella_massiliensis,0.0013713918152967735,0.42 %,91.05 %
96,Firmicutes_bacterium_CAG_83,0.0012723271797295901,0.39 %,91.44 %
97,Barnesiella_intestinihominis,0.001262841344860229,0.38 %,91.82 %
98,Turicibacter_sanguinis,0.0012240390531985822,0.37 %,92.19 %
99,Bifidobacterium_catenulatum,0.001172050177512938,0.36 %,92.55 %
100,Bacteroides_finegoldii,0.0011499858456318077,0.35 %,92.9 %
101,Phascolarctobacterium_faecium,0.0011493782684365193,0.35 %,93.25 %
102,Clostridium_disporicum,0.001146404643173569,0.35 %,93.6 %
103,Eubacterium_ventriosum,0.0010643921447139235,0.32 %,93.92 %
104,Haemophilus_sp_HMSC71H05,0.0010592809433509784,0.32 %,94.24 %
105,Coprococcus_catus,0.0010444318252839319,0.32 %,94.56 %
106,Firmicutes_bacterium_CAG_145,0.0010170740282155412,0.31 %,94.87 %
107,Collinsella_intestinalis,0.0009583306820885991,0.29 %,95.16 %
108,Clostridium_clostridioforme,0.00087885811739913,0.27 %,95.43 %
109,Oscillibacter_sp_CAG_241,0.000816013623147779,0.25 %,95.68 %
110,Clostridium_lavalense,0.0008108265283544973,0.25 %,95.93 %
111,Eisenbergiella_tayi,0.0007549585010001124,0.23 %,96.16 %
112,Butyricimonas_virosa,0.0007446919057838413,0.23 %,96.38 %
113,Bacteroides_cellulosilyticus,0.0007287531866751121,0.22 %,96.6 %
114,Ruminococcus_callidus,0.0007174384427180769,0.22 %,96.82 %
115,Bacteroides_massiliensis,0.0006839323449874075,0.21 %,97.03 %
116,Clostridium_citroniae,0.0006728268316691126,0.2 %,97.24 %
117,Dielma_fastidiosa,0.0006664196267344955,0.2 %,97.44 %
